AÑO;MES;MUNICIPIO;DATOS
2277;junio;Las Palmas;6586345
2278;julio;Las Palmas;6586345
2279;agosto;Las Palmas;6586345
2280;septiembre;Las Palmas;6586345
2281;octubre;Las Palmas;6586345
2282;noviemrbe;Las Palmas;6586345
2283;diciembre;Las Palmas;6586345
2284;enero;Las Palmas;6820109
2285;febrero;Las Palmas;6820109
2286;marzo;Las Palmas;6820109
2287;abril;Las Palmas;6820109
2288;mayo;Las Palmas;6820109
2289;junio;Las Palmas;6820109
2290;julio;Las Palmas;6820109
2291;agosto;Las Palmas;6820109
2292;septiembre;Las Palmas;6820109
2293;octubre;Las Palmas;6820109
2294;noviemrbe;Las Palmas;6820109
2295;diciembre;Las Palmas;6820109
2296;enero;Las Palmas;7009799
2297;febrero;Las Palmas;7009799
2298;marzo;Las Palmas;7009799
2299;abril;Las Palmas;7009799
2300;mayo;Las Palmas;7009799
2301;junio;Las Palmas;7009799
2302;julio;Las Palmas;7009799
2303;agosto;Las Palmas;7009799
2304;septiembre;Las Palmas;7009799
2305;octubre;Las Palmas;7009799
2306;noviemrbe;Las Palmas;7009799
2307;diciembre;Las Palmas;7009799
2308;enero;Las Palmas;7028605
2309;febrero;Las Palmas;7028605
2310;marzo;Las Palmas;7028605
2311;abril;Las Palmas;7028605
2312;mayo;Las Palmas;7028605
2313;junio;Las Palmas;7028605
2314;julio;Las Palmas;7028605
2315;agosto;Las Palmas;7028605
2316;septiembre;Las Palmas;7028605
2317;octubre;Las Palmas;7028605
2318;noviemrbe;Las Palmas;7028605
2319;diciembre;Las Palmas;7028605
2320;enero;Las Palmas;8859129
2321;febrero;Las Palmas;8859129
2322;marzo;Las Palmas;8859129
2323;abril;Las Palmas;8859129
2324;mayo;Las Palmas;8859129
2325;junio;Las Palmas;8859129
2326;julio;Las Palmas;8859129
2327;agosto;Las Palmas;8859129
2328;septiembre;Las Palmas;8859129
2329;octubre;Las Palmas;8859129
2330;noviemrbe;Las Palmas;8859129
2331;diciembre;Las Palmas;8859129
2332;enero;Las Palmas;9024806
2333;febrero;Las Palmas;9024806
2334;marzo;Las Palmas;9024806
2335;abril;Las Palmas;9024806
2336;mayo;Las Palmas;9024806
2337;junio;Las Palmas;9024806
2338;julio;Las Palmas;9024806
2339;agosto;Las Palmas;9024806
2340;septiembre;Las Palmas;9024806
2341;octubre;Las Palmas;9024806
2342;noviemrbe;Las Palmas;9024806
2343;diciembre;Las Palmas;9024806
2344;enero;Las Palmas;9208250
2345;febrero;Las Palmas;9208250
2346;marzo;Las Palmas;9208250
2347;abril;Las Palmas;9208250
2348;mayo;Las Palmas;9208250
2349;junio;Las Palmas;9208250
2350;julio;Las Palmas;9208250
2351;agosto;Las Palmas;9208250
2352;septiembre;Las Palmas;9208250
2353;octubre;Las Palmas;9208250
2354;noviemrbe;Las Palmas;9208250
2355;diciembre;Las Palmas;9208250
2356;enero;Las Palmas;9278472
2357;febrero;Las Palmas;9278472
2358;marzo;Las Palmas;9278472
2359;abril;Las Palmas;9278472
2360;mayo;Las Palmas;9278472
2361;junio;Las Palmas;9278472
2362;julio;Las Palmas;9278472
2363;agosto;Las Palmas;9278472
2364;septiembre;Las Palmas;9278472
2365;octubre;Las Palmas;9278472
2366;noviemrbe;Las Palmas;9278472
2367;diciembre;Las Palmas;9278472
2368;enero;Las Palmas;9454869
2369;febrero;Las Palmas;9454869
2370;marzo;Las Palmas;9454869
2371;abril;Las Palmas;9454869
2372;mayo;Las Palmas;9454869
2373;junio;Las Palmas;9454869
2374;julio;Las Palmas;9454869
2375;agosto;Las Palmas;9454869
2376;septiembre;Las Palmas;9454869
2377;octubre;Las Palmas;9454869
2378;noviemrbe;Las Palmas;9454869
2379;diciembre;Las Palmas;9454869
2380;enero;Las Palmas;9585228
2381;febrero;Las Palmas;9585228
2382;marzo;Las Palmas;9585228
2383;abril;Las Palmas;9585228
2384;mayo;Las Palmas;9585228
2385;junio;Las Palmas;9585228
2386;julio;Las Palmas;9585228
2387;agosto;Las Palmas;9585228
2388;septiembre;Las Palmas;9585228
2389;octubre;Las Palmas;9585228
2390;noviemrbe;Las Palmas;9585228
2391;diciembre;Las Palmas;9585228
2392;enero;Las Palmas;9636419
2393;febrero;Las Palmas;9636419
2394;marzo;Las Palmas;9636419
2395;abril;Las Palmas;9636419
2396;mayo;Las Palmas;9636419
2397;junio;Las Palmas;9636419
2398;julio;Las Palmas;9636419
2399;agosto;Las Palmas;9636419
2400;septiembre;Las Palmas;9636419
2401;octubre;Las Palmas;9636419
2402;noviemrbe;Las Palmas;9636419
2403;diciembre;Las Palmas;9636419
2404;enero;Las Palmas;9743765
2405;febrero;Las Palmas;9743765
2406;marzo;Las Palmas;9743765
2407;abril;Las Palmas;9743765
2408;mayo;Las Palmas;9743765
2409;junio;Las Palmas;9743765
2410;julio;Las Palmas;9743765
2411;agosto;Las Palmas;9743765
2412;septiembre;Las Palmas;9743765
2413;octubre;Las Palmas;9743765
2414;noviemrbe;Las Palmas;9743765
2415;diciembre;Las Palmas;9743765
2416;enero;Las Palmas;9879558
2417;febrero;Las Palmas;9879558
2418;marzo;Las Palmas;9879558
2419;abril;Las Palmas;9879558
2420;mayo;Las Palmas;9879558
2421;junio;Las Palmas;9879558
2422;julio;Las Palmas;9879558
2423;agosto;Las Palmas;9879558
2424;septiembre;Las Palmas;9879558
2425;octubre;Las Palmas;9879558
2426;noviemrbe;Las Palmas;9879558
2427;diciembre;Las Palmas;9879558
2428;enero;Santa Cruz de Tenerife;417308
2429;febrero;Santa Cruz de Tenerife;417308
2430;marzo;Santa Cruz de Tenerife;417308
2431;abril;Santa Cruz de Tenerife;417308
2432;mayo;Santa Cruz de Tenerife;417308
2433;junio;Santa Cruz de Tenerife;417308
2434;julio;Santa Cruz de Tenerife;417308
2435;agosto;Santa Cruz de Tenerife;417308
2436;septiembre;Santa Cruz de Tenerife;417308
2437;octubre;Santa Cruz de Tenerife;417308
2438;noviemrbe;Santa Cruz de Tenerife;417308
2439;diciembre;Santa Cruz de Tenerife;417308
2440;enero;Santa Cruz de Tenerife;428607
2441;febrero;Santa Cruz de Tenerife;428607
2442;marzo;Santa Cruz de Tenerife;428607
2443;abril;Santa Cruz de Tenerife;428607
2444;mayo;Santa Cruz de Tenerife;428607
2445;junio;Santa Cruz de Tenerife;428607
2446;julio;Santa Cruz de Tenerife;428607
2447;agosto;Santa Cruz de Tenerife;428607
2448;septiembre;Santa Cruz de Tenerife;428607
2449;octubre;Santa Cruz de Tenerife;428607
2450;noviemrbe;Santa Cruz de Tenerife;428607
2451;diciembre;Santa Cruz de Tenerife;428607
2452;enero;Santa Cruz de Tenerife;447982
2453;febrero;Santa Cruz de Tenerife;447982
2454;marzo;Santa Cruz de Tenerife;447982
2455;abril;Santa Cruz de Tenerife;447982
2456;mayo;Santa Cruz de Tenerife;447982
2457;junio;Santa Cruz de Tenerife;447982
2458;julio;Santa Cruz de Tenerife;447982
2459;agosto;Santa Cruz de Tenerife;447982
2460;septiembre;Santa Cruz de Tenerife;447982
2461;octubre;Santa Cruz de Tenerife;447982
2462;noviemrbe;Santa Cruz de Tenerife;447982
2463;diciembre;Santa Cruz de Tenerife;447982
2464;enero;Santa Cruz de Tenerife;526618
2465;febrero;Santa Cruz de Tenerife;526618
2466;marzo;Santa Cruz de Tenerife;526618
2467;abril;Santa Cruz de Tenerife;526618
2468;mayo;Santa Cruz de Tenerife;526618
2469;junio;Santa Cruz de Tenerife;526618
2470;julio;Santa Cruz de Tenerife;526618
2471;agosto;Santa Cruz de Tenerife;526618
2472;septiembre;Santa Cruz de Tenerife;526618
2473;octubre;Santa Cruz de Tenerife;526618
2474;noviemrbe;Santa Cruz de Tenerife;526618
2475;diciembre;Santa Cruz de Tenerife;526618
2476;enero;Santa Cruz de Tenerife;619276
2477;febrero;Santa Cruz de Tenerife;619276
2478;marzo;Santa Cruz de Tenerife;619276
2479;abril;Santa Cruz de Tenerife;619276
2480;mayo;Santa Cruz de Tenerife;619276
2481;junio;Santa Cruz de Tenerife;619276
2482;julio;Santa Cruz de Tenerife;619276
2483;agosto;Santa Cruz de Tenerife;619276
2484;septiembre;Santa Cruz de Tenerife;619276
2485;octubre;Santa Cruz de Tenerife;619276
2486;noviemrbe;Santa Cruz de Tenerife;619276
2487;diciembre;Santa Cruz de Tenerife;619276
2488;enero;Santa Cruz de Tenerife;1614748
2489;febrero;Santa Cruz de Tenerife;1614748
2490;marzo;Santa Cruz de Tenerife;1614748
2491;abril;Santa Cruz de Tenerife;1614748
2492;mayo;Santa Cruz de Tenerife;1614748
2493;junio;Santa Cruz de Tenerife;1614748
2494;julio;Santa Cruz de Tenerife;1614748
2495;agosto;Santa Cruz de Tenerife;1614748
2496;septiembre;Santa Cruz de Tenerife;1614748
2497;octubre;Santa Cruz de Tenerife;1614748
2498;noviemrbe;Santa Cruz de Tenerife;1614748
2499;diciembre;Santa Cruz de Tenerife;1614748
2500;enero;Santa Cruz de Tenerife;1641412
2501;febrero;Santa Cruz de Tenerife;1641412
2502;marzo;Santa Cruz de Tenerife;1641412
2503;abril;Santa Cruz de Tenerife;1641412
2504;mayo;Santa Cruz de Tenerife;1641412
2505;junio;Santa Cruz de Tenerife;1641412
2506;julio;Santa Cruz de Tenerife;1641412
2507;agosto;Santa Cruz de Tenerife;1641412
2508;septiembre;Santa Cruz de Tenerife;1641412
2509;octubre;Santa Cruz de Tenerife;1641412
2510;noviemrbe;Santa Cruz de Tenerife;1641412
2511;diciembre;Santa Cruz de Tenerife;1641412
2512;enero;Santa Cruz de Tenerife;1742963
2513;febrero;Santa Cruz de Tenerife;1742963
2514;marzo;Santa Cruz de Tenerife;1742963
2515;abril;Santa Cruz de Tenerife;1742963
2516;mayo;Santa Cruz de Tenerife;1742963
2517;junio;Santa Cruz de Tenerife;1742963
2518;julio;Santa Cruz de Tenerife;1742963
2519;agosto;Santa Cruz de Tenerife;1742963
2520;septiembre;Santa Cruz de Tenerife;1742963
2521;octubre;Santa Cruz de Tenerife;1742963
2522;noviemrbe;Santa Cruz de Tenerife;1742963
2523;diciembre;Santa Cruz de Tenerife;1742963
2524;enero;Santa Cruz de Tenerife;1811951
2525;febrero;Santa Cruz de Tenerife;1811951
2526;marzo;Santa Cruz de Tenerife;1811951
2527;abril;Santa Cruz de Tenerife;1811951
2528;mayo;Santa Cruz de Tenerife;1811951
2529;junio;Santa Cruz de Tenerife;1811951
2530;julio;Santa Cruz de Tenerife;1811951
2531;agosto;Santa Cruz de Tenerife;1811951
2532;septiembre;Santa Cruz de Tenerife;1811951
2533;octubre;Santa Cruz de Tenerife;1811951
2534;noviemrbe;Santa Cruz de Tenerife;1811951
2535;diciembre;Santa Cruz de Tenerife;1811951
2536;enero;Santa Cruz de Tenerife;1888243
2537;febrero;Santa Cruz de Tenerife;1888243
2538;marzo;Santa Cruz de Tenerife;1888243
2539;abril;Santa Cruz de Tenerife;1888243
2540;mayo;Santa Cruz de Tenerife;1888243
2541;junio;Santa Cruz de Tenerife;1888243
2542;julio;Santa Cruz de Tenerife;1888243
2543;agosto;Santa Cruz de Tenerife;1888243
2544;septiembre;Santa Cruz de Tenerife;1888243
2545;octubre;Santa Cruz de Tenerife;1888243
2546;noviemrbe;Santa Cruz de Tenerife;1888243
2547;diciembre;Santa Cruz de Tenerife;1888243
2548;enero;Santa Cruz de Tenerife;2207661
2549;febrero;Santa Cruz de Tenerife;2207661
2550;marzo;Santa Cruz de Tenerife;2207661
2551;abril;Santa Cruz de Tenerife;2207661
2552;mayo;Santa Cruz de Tenerife;2207661
2553;junio;Santa Cruz de Tenerife;2207661
2554;julio;Santa Cruz de Tenerife;2207661
2555;agosto;Santa Cruz de Tenerife;2207661
2556;septiembre;Santa Cruz de Tenerife;2207661
2557;octubre;Santa Cruz de Tenerife;2207661
2558;noviemrbe;Santa Cruz de Tenerife;2207661
2559;diciembre;Santa Cruz de Tenerife;2207661
2560;enero;Santa Cruz de Tenerife;2243303
2561;febrero;Santa Cruz de Tenerife;2243303
2562;marzo;Santa Cruz de Tenerife;2243303
2563;abril;Santa Cruz de Tenerife;2243303
2564;mayo;Santa Cruz de Tenerife;2243303
2565;junio;Santa Cruz de Tenerife;2243303
2566;julio;Santa Cruz de Tenerife;2243303
2567;agosto;Santa Cruz de Tenerife;2243303
2568;septiembre;Santa Cruz de Tenerife;2243303
2569;octubre;Santa Cruz de Tenerife;2243303
2570;noviemrbe;Santa Cruz de Tenerife;2243303
2571;diciembre;Santa Cruz de Tenerife;2243303
2572;enero;Santa Cruz de Tenerife;2293226
2573;febrero;Santa Cruz de Tenerife;2293226
2574;marzo;Santa Cruz de Tenerife;2293226
2575;abril;Santa Cruz de Tenerife;2293226
2576;mayo;Santa Cruz de Tenerife;2293226
2577;junio;Santa Cruz de Tenerife;2293226
2578;julio;Santa Cruz de Tenerife;2293226
2579;agosto;Santa Cruz de Tenerife;2293226
2580;septiembre;Santa Cruz de Tenerife;2293226
2581;octubre;Santa Cruz de Tenerife;2293226
2582;noviemrbe;Santa Cruz de Tenerife;2293226
2583;diciembre;Santa Cruz de Tenerife;2293226
2584;enero;Santa Cruz de Tenerife;2312072
2585;febrero;Santa Cruz de Tenerife;2312072
2586;marzo;Santa Cruz de Tenerife;2312072
2587;abril;Santa Cruz de Tenerife;2312072
2588;mayo;Santa Cruz de Tenerife;2312072
2589;junio;Santa Cruz de Tenerife;2312072
2590;julio;Santa Cruz de Tenerife;2312072
2591;agosto;Santa Cruz de Tenerife;2312072
2592;septiembre;Santa Cruz de Tenerife;2312072
2593;octubre;Santa Cruz de Tenerife;2312072
2594;noviemrbe;Santa Cruz de Tenerife;2312072
2595;diciembre;Santa Cruz de Tenerife;2312072
2596;enero;Santa Cruz de Tenerife;2388657
2597;febrero;Santa Cruz de Tenerife;2388657
2598;marzo;Santa Cruz de Tenerife;2388657
2599;abril;Santa Cruz de Tenerife;2388657
2600;mayo;Santa Cruz de Tenerife;2388657
2601;junio;Santa Cruz de Tenerife;2388657
2602;julio;Santa Cruz de Tenerife;2388657
2603;agosto;Santa Cruz de Tenerife;2388657
2604;septiembre;Santa Cruz de Tenerife;2388657
2605;octubre;Santa Cruz de Tenerife;2388657
2606;noviemrbe;Santa Cruz de Tenerife;2388657
2607;diciembre;Santa Cruz de Tenerife;2388657
2608;enero;Santa Cruz de Tenerife;2408262
2609;febrero;Santa Cruz de Tenerife;2408262
2610;marzo;Santa Cruz de Tenerife;2408262
2611;abril;Santa Cruz de Tenerife;2408262
2612;mayo;Santa Cruz de Tenerife;2408262
2613;junio;Santa Cruz de Tenerife;2408262
2614;julio;Santa Cruz de Tenerife;2408262
2615;agosto;Santa Cruz de Tenerife;2408262
2616;septiembre;Santa Cruz de Tenerife;2408262
2617;octubre;Santa Cruz de Tenerife;2408262
2618;noviemrbe;Santa Cruz de Tenerife;2408262
2619;diciembre;Santa Cruz de Tenerife;2408262
2620;enero;Santa Cruz de Tenerife;3051366
2621;febrero;Santa Cruz de Tenerife;3051366
2622;marzo;Santa Cruz de Tenerife;3051366
2623;abril;Santa Cruz de Tenerife;3051366
2624;mayo;Santa Cruz de Tenerife;3051366
2625;junio;Santa Cruz de Tenerife;3051366
2626;julio;Santa Cruz de Tenerife;3051366
2627;agosto;Santa Cruz de Tenerife;3051366
2628;septiembre;Santa Cruz de Tenerife;3051366
2629;octubre;Santa Cruz de Tenerife;3051366
2630;noviemrbe;Santa Cruz de Tenerife;3051366
2631;diciembre;Santa Cruz de Tenerife;3051366
2632;enero;Santa Cruz de Tenerife;3140625
2633;febrero;Santa Cruz de Tenerife;3140625
2634;marzo;Santa Cruz de Tenerife;3140625
2635;abril;Santa Cruz de Tenerife;3140625
2636;mayo;Santa Cruz de Tenerife;3140625
2637;junio;Santa Cruz de Tenerife;3140625
2638;julio;Santa Cruz de Tenerife;3140625
2639;agosto;Santa Cruz de Tenerife;3140625
2640;septiembre;Santa Cruz de Tenerife;3140625
2641;octubre;Santa Cruz de Tenerife;3140625
2642;noviemrbe;Santa Cruz de Tenerife;3140625
2643;diciembre;Santa Cruz de Tenerife;3140625
2644;enero;Santa Cruz de Tenerife;3394645
2645;febrero;Santa Cruz de Tenerife;3394645
2646;marzo;Santa Cruz de Tenerife;3394645
2647;abril;Santa Cruz de Tenerife;3394645
2648;mayo;Santa Cruz de Tenerife;3394645
2649;junio;Santa Cruz de Tenerife;3394645
2650;julio;Santa Cruz de Tenerife;3394645
2651;agosto;Santa Cruz de Tenerife;3394645
2652;septiembre;Santa Cruz de Tenerife;3394645
2653;octubre;Santa Cruz de Tenerife;3394645
2654;noviemrbe;Santa Cruz de Tenerife;3394645
2655;diciembre;Santa Cruz de Tenerife;3394645
2656;enero;Santa Cruz de Tenerife;3716144
2657;febrero;Santa Cruz de Tenerife;3716144
2658;marzo;Santa Cruz de Tenerife;3716144
2659;abril;Santa Cruz de Tenerife;3716144
2660;mayo;Santa Cruz de Tenerife;3716144
2661;junio;Santa Cruz de Tenerife;3716144
2662;julio;Santa Cruz de Tenerife;3716144
2663;agosto;Santa Cruz de Tenerife;3716144
2664;septiembre;Santa Cruz de Tenerife;3716144
2665;octubre;Santa Cruz de Tenerife;3716144
2666;noviemrbe;Santa Cruz de Tenerife;3716144
2667;diciembre;Santa Cruz de Tenerife;3716144
2668;enero;Santa Cruz de Tenerife;3744475
2669;febrero;Santa Cruz de Tenerife;3744475
2670;marzo;Santa Cruz de Tenerife;3744475
2671;abril;Santa Cruz de Tenerife;3744475
2672;mayo;Santa Cruz de Tenerife;3744475
2673;junio;Santa Cruz de Tenerife;3744475
2674;julio;Santa Cruz de Tenerife;3744475
2675;agosto;Santa Cruz de Tenerife;3744475
2676;septiembre;Santa Cruz de Tenerife;3744475
2677;octubre;Santa Cruz de Tenerife;3744475
2678;noviemrbe;Santa Cruz de Tenerife;3744475
2679;diciembre;Santa Cruz de Tenerife;3744475
2680;enero;Santa Cruz de Tenerife;4171765
2681;febrero;Santa Cruz de Tenerife;4171765
2682;marzo;Santa Cruz de Tenerife;4171765
2683;abril;Santa Cruz de Tenerife;4171765
2684;mayo;Santa Cruz de Tenerife;4171765
